date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.15,IN,19,102,0,0,0,28,4,121,121,印第安纳州,Indiana
3.15,KS,8,135,0,1,0,42,2,143,143,堪萨斯州,Kansas
3.15,KY,16,139,0,0,0,0,2,155,155,肯塔基州,Kentucky
3.15,LA,90,156,0,2,2,47,39,246,246,路易斯安那州,Louisiana
3.15,MA,64,584,0,0,0,584,26,648,648,马萨诸塞州（麻省、麻州）,Massachusetts
3.15,MD,31,94,0,0,0,0,5,125,125,马里兰州,Maryland
3.15,ME,3,91,0,0,0,0,0,111,94,缅因州,Maine
3.15,MI,1480,205,0,0,0,0,284,1711,1685,密歇根州（密执安州）,Michigan
3.15,MN,35,1387,0,0,0,540,14,1422,1422,明尼苏达州,Minnesota
3.15,MO,5,122,0,0,0,32,1,127,127,密苏里州,Missouri
3.15,MS,10,84,0,0,0,0,4,94,94,密西西比州,Mississippi
3.15,MT,7,103,0,0,0,0,2,167,110,蒙大拿州,Montana
3.15,NC,32,227,0,0,0,90,9,410,259,北卡罗来纳州,North Carolina
3.15,ND,1,95,0,0,0,41,0,100,96,北达科他州,North Dakota
3.15,NE,17,80,0,0,0,0,3,130,97,内布拉斯加州,Nebraska
3.15,NH,13,271,0,0,0,59,6,379,284,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.15,NJ,98,120,0,2,1,23,48,252,218,新泽西州,New Jersey
3.15,NM,13,482,0,0,0,245,3,495,495,新墨西哥州,New Mexico
3.15,NV,21,168,0,0,0,0,1,353,189,内华达州,Nevada
3.15,NY,729,4543,0,3,3,1764,205,5272,5272,纽约州,New York
3.15,OH,36,139,0,0,0,89,23,525,175,俄亥俄州,Ohio
3.15,OK,9,118,0,0,0,82,5,139,127,俄克拉荷马州,Oklahoma
3.15,OR,36,420,0,0,0,83,6,681,456,俄勒冈州,Oregon
3.15,PA,63,205,0,0,0,0,16,451,268,宾夕法尼亚州,Pennsylvania
3.15,RI,20,271,0,0,0,73,0,348,291,罗得岛州（罗德岛州）,Rhode Island
3.15,SC,19,154,0,0,0,44,6,173,173,南卡罗来纳州,South Carolina
